tconst,director,id,popularity
tt9777644,Spike Lee,581859,7.879
tt10618286,David Fincher,614560,12.858
tt9779516,Andrew Erwin,585244,0.595
tt9779516,Jon Erwin,585244,1.435
tt9866072,John Whitesell,615665,3.192
tt8522006,Clea DuVall,520172,12.154
tt8522006,Clea DuVall,520172,12.154
tt8508734,Remi Weekes,575774,0.638
tt10633456,Lee Isaac Chung,615643,2.862
tt2948372,Pete Docter,508442,9.981
tt7737786,Ric Roman Waugh,524047,6.309
tt7737786,Ric Roman Waugh,524047,6.309
tt8503618,Thomas Kail,556574,2.762
tt8580274,David Dobkin,531454,2.099
tt7146812,Dan Scanlon,508439,2.853
tt7846844,Harry Bradbeer,497582,1.03
tt7846844,Harry Bradbeer,497582,1.03
tt7713068,Cathy Yan,495764,3.584
tt7713068,Cathy Yan,495764,3.584
tt8544498,Gavin O'Connor,529485,5.197
tt8544498,Gavin O'Connor,529485,5.197
tt8242084,Peter Segal,592834,4.638
tt11161474,Kornél Mundruczó,641662,0.693
tt9683478,Alice Wu,597219,0.016
tt8368512,Dominic Cooke,522241,2.159
tt9731534,David Bruckner,547565,2.827
tt1502397,Adil El Arbi,38700,4.664
tt1502397,Bilall Fallah,38700,8.135
tt8332922,John Krasinski,520763,27.163
tt8332922,John Krasinski,520763,27.163
tt6450804,Tim Miller,290859,11.956
tt6450804,Tim Miller,290859,11.956
tt8772262,Ari Aster,530385,11.711
tt8385474,Gail Mancuso,522518,1.477
tt2139881,Jonathan Levine,459992,1.712
tt8364368,Alexandre Aja,511987,4.035
tt8364368,Alexandre Aja,511987,4.035
tt8688634,Brian Kirk,535292,2.722
tt8688634,Brian Kirk,535292,2.722
tt8367814,Guy Ritchie,522627,23.576
tt8155288,Christopher Landon,512196,3.07
tt8110640,Jim Mickle,530382,3.157
tt8106534,Michael Bay,509967,8.769
tt6472976,Justin Baldoni,527641,20.095
tt2935510,James Gray,419704,0.001
tt7653254,Noah Baumbach,492188,13.671
tt1488606,J.C. Chandor,399361,8.968
tt3861390,Tim Burton,329996,28.287
tt3861390,Tim Burton,329996,28.287
tt7139936,Woody Allen,475303,16.055
tt8579674,Sam Mendes,530915,7.279
tt8579674,Sam Mendes,530915,7.279
tt7752126,David Yarovesky,531309,3.257
tt7752126,David Yarovesky,531309,3.257
tt7286456,Todd Phillips,475557,8.729
tt1489887,Olivia Wilde,505600,21.857
tt7984766,David Michôd,504949,1.529
tt7984734,Robert Eggers,503919,19.884
tt7984734,Robert Eggers,503919,19.884
tt2386490,Dean DeBlois,166428,5.936
tt3281548,Greta Gerwig,331482,13.325
tt8079248,Danny Boyle,515195,12.337
tt8075260,Jennifer Kaytin Robinson,515248,2.514
tt8075260,Jennifer Kaytin Robinson,515248,2.514
tt1618434,Kyle Newacheck,514999,1.308
tt6977338,Gene Stupnitsky,521777,4.099
tt7131622,Quentin Tarantino,466272,58.921
tt7975244,Jake Kasdan,512200,5.961
